sep=,
start,end,event,value
0,207408,,0
207408,207718,,1
207718,208028,,2
208028,208342,,3
208342,208651,,4
208651,208961,,5
208961,209275,,6
209275,209585,,7
209585,209899,,8
209899,210208,,9
210208,210518,,10
210518,210832,,11
210832,211141,,12
211141,211456,,13
211456,211765,,14
211765,212075,,15
212075,212389,,16
212389,212698,,17
212698,213013,,18
213013,213322,,19
213322,213631,,20
213631,213946,,21
213946,214255,,22
214255,214570,,23
214570,214879,,24
214879,215188,,25
215188,216122,,26
216122,216436,,27
216436,216745,,28
216745,217060,,29
217060,217369,,30
217369,217993,,31
217993,218617,,32
218617,218926,,33
218926,219236,,34
219236,219859,,35
219859,220483,,36
220483,221107,,37
221107,221726,,38
221726,222040,,39
222040,222349,,40
222349,222973,,41
222973,223597,,42
223597,224221,,43
224221,224839,,44
224839,225463,,45
225463,226087,,46
226087,226711,,47
226711,227330,,48
227330,227953,,49
227953,228577,,50
228577,228887,,51
228887,229201,,52
229201,229824,,53
229824,230134,,54
230134,230443,,55
230443,231067,,56
231067,231691,,57
231691,232000,,58
232000,232315,,59
232315,232933,,60
232933,233248,,61
233248,233557,,62
233557,234181,,63
234181,234490,,64
234490,234805,,65
234805,235114,,66
235114,235428,,67
235428,236047,,68
236047,236362,,69
236362,236671,,70
236671,236985,,71
236985,237295,,72
237295,237918,,73
237918,238228,,74
238228,238537,,75
238537,239161,,76
239161,239785,,77
239785,240094,,78
240094,240409,,79
240409,241032,,80
241032,241651,,81
241651,242275,,82
242275,242589,,83
242589,242899,,84
242899,243208,,85
243208,243522,,86
243522,243832,,87
243832,244141,,88
244141,244765,,89
244765,245079,,90
245079,245389,,91
245389,246013,,92
246013,246322,,93
246322,246636,,94
246636,247255,,95
247255,248193,,96
248193,248503,,97
248503,248812,,98
248812,249126,,99
249126,249436,,100
249436,250060,,101
250060,250683,,102
250683,250993,,103
250993,251302,,104
251302,251926,,105
251926,252550,,106
252550,253173,,107
253173,253797,,108
253797,254107,,109
254107,254416,,110
254416,255040,,111
255040,255663,,112
255663,256287,,113
256287,256906,,114
256906,257530,,115
257530,258154,,116
258154,258777,,117
258777,259401,,118
259401,260020,,119
260020,260644,,120
260644,260958,,121
260958,261267,,122
261267,261891,,123
261891,262201,,124
262201,262510,,125
262510,263134,,126
263134,263758,,127
263758,264067,,128
264067,264381,,129
264381,265005,,130
265005,265314,,131
265314,265624,,132
265624,266248,,133
266248,266562,,134
266562,266871,,135
266871,267181,,136
267181,267495,,137
267495,268114,,138
268114,268428,,139
268428,268738,,140
268738,269052,,141
269052,269361,,142
269361,269985,,143
269985,270295,,144
270295,270609,,145
270609,271228,,146
271228,271852,,147
271852,272166,,148
272166,272475,,149
272475,273099,,150
273099,273718,,151
273718,274342,,152
274342,274656,,153
274656,274965,,154
274965,275275,,155
275275,275589,,156
275589,275899,,157
275899,276213,,158
276213,276832,,159
276832,277146,,160
277146,277455,,161
277455,278079,,162
278079,278389,,163
278389,278703,,164
278703,279322,,165
279322,280260,,166
280260,280569,,167
280569,280879,,168
280879,281193,,169
281193,281503,,170
281503,282126,,171
282126,282750,,172
282750,283059,,173
283059,283374,,174
283374,283993,,175
283993,284616,,176
284616,285240,,177
285240,285864,,178
285864,286173,,179
286173,286483,,180
286483,287106,,181
287106,287730,,182
287730,288354,,183
288354,288978,,184
288978,289597,,185
289597,290220,,186
290220,290844,,187
290844,291468,,188
291468,292087,,189
292087,292710,,190
292710,293025,,191
293025,293334,,192
293334,293958,,193
293958,294267,,194
294267,294582,,195
294582,295200,,196
295200,295824,,197
295824,296138,,198
296138,296448,,199
296448,297072,,200
297072,297381,,201
297381,297691,,202
297691,298314,,203
298314,298629,,204
298629,298938,,205
298938,299247,,206
299247,299562,,207
299562,300185,,208
300185,300495,,209
300495,300804,,210
300804,301119,,211
301119,301428,,212
301428,302052,,213
302052,302361,,214
302361,302676,,215
302676,303294,,216
303294,303918,,217
303918,304232,,218
304232,304542,,219
304542,305166,,220
305166,305789,,221
305789,306408,,222
306408,306723,,223
306723,307032,,224
307032,307346,,225
307346,307656,,226
307656,307965,,227
307965,308279,,228
308279,308898,,229
308898,309213,,230
309213,309522,,231
309522,310146,,232
310146,310455,,233
310455,310770,,234
310770,311393,,235
